0	0.24222	founders thing number change vcs person running yahoo source stop advantage force friend worse current practice news wait treat perl 
1	0.24316	software means back design vcs end realize round simply funding life remember quality focus process biggest succeed we'd fail american 
2	0.24454	that's language real spam matter computer stock office easier form guys figure ambitious students price difference building days open books 
3	0.22075	inside die granted derived one's probabilities carefully convinced increases cambridge meet artist macro naive who'd west corpus paragraph pinch estimate 
4	0.25899	people it's startup make things investors time lot hard doesn't writing reason problems technology give programmers won't day rich feel 
5	0.24661	start business years kind making languages valley power future i've year combinator fundraising imagine general hacker that's approach happened century 
6	0.2485	company companies problem world bad i'm fact small starting early they'd deal wealth isn't word you'd applications buy worth stuff 
7	0.23225	plan pretty viaweb huge risk default haven't meetings principle grew they've thing room surprisingly conventional related succeeding complex papers slow 
8	0.2414	ideas write tend interesting found half young user research decide head weren't hire increasingly you're gradually bought java city promising 
9	0.21768	sales earlier beat street draw account network replace technological responsibility regard enjoy human iphone killed continue selection eliminate cap widely 
10	0.25069	work you're big they're important makes market code wouldn't common invest web times sense run investor angel spend true wrong 
11	0.23641	made programming type live choose control effect public groups lots dollars hope development summer performance felt began growing sitting prefer 
12	0.25563	don't startups good money users can't didn't there's working great they're school long point google talk successful i'd job they'll 
13	0.23145	short launch feels fear student agree identical disagree systems procrastination prestigious e.g bug larger survive mode browser server-based influence twenties 
14	0.21997	act store fine typical national format security future unions coast pattern texts sell minds exception twenty intrinsically benevolent salary lunch 
15	0.21672	steve property brand drive bank amounts david tells yields blogging editors statement decreasing developers planned unexpected zero-sum spot concentrated ran 
16	0.21896	hour losing empirically worry fraction generating automatically community sending applied internal developed dev moved definition recruiting javascript amazon feet interview 
17	0.24686	idea hackers you'll thought smart pay question case powerful till raise fast couple high talking care win words avoid i've 
18	0.21635	demand stores page suddenly fairly pushing desperate strongly doctor generates extract reality start kerry mails accept startups standing equation norm 
19	0.2174	reporters literature software long definite ancient familiar measuring throwaway earliest imitating pleasure distinct vote fundamental leaders breaking brain pays origins 
20	0.22559	considered front designing finding brain previous meaning background cheaply awkward external graduate miss eating election story noticed sentences made seats 
21	0.22023	computers who've phone evil regular manage speak corporate intended worried surely built parallel author shot wisdom areas mobile sam mathematicians 
22	0.2296	investment shouldn't experience situations ahead page industrial equal fashions sophisticated trust he'll practice unlike assumption einstein python disputes nervous believing 
23	0.22791	structure hit changing perfect function organization insiders task advise shares lazy cofounder object-oriented quiet collection defining prototype union depending combine 
24	0.22214	university outcome versions strange implement screen hierarchy counterintuitive aristotle stripe intellectually quit developer limits modern rapid stages statistics executive lead 
25	0.21725	venture meet novels ugly admissions leaving involved innocent revolution clients text suggest fragmentation balance attacking attractive overlap artix cambridge energetic 
26	0.22443	support depends death option positives benefit lead desire prices theoretical rational compare develop conceal discard hub lying everyone's paperwork find 
27	0.22698	learning determined basic edge local aim direct possibly hundreds exercise products inevitable bias alternative constant existence environment detail degrees manager's 
28	0.24045	find started large ago site data experience life field surprising reasons works product potential math technical reading save turns weeks 
29	0.23574	fund essay writers living prevent rapidly philosophy level syntax factor check mind topic career batch secret conference behavior influenced technologies 
